gene,mean_pdac_val,mean_normal_val,log2fc_val,p_value_val,auc_val,fdr_val
SETD4,4.283134927536233,4.219328360655738,0.06380656688049502,0.18699291990951203,0.5839866951770016,0.24961090269936395
SETD5,7.691955507246377,7.540299508196722,0.15165599904965532,0.006259948926741359,0.6255642670468045,0.014144104640416516
SETD6,4.983548405797102,5.2451803278688525,-0.2616319220717509,3.343132178011183e-06,0.2689474934663816,2.893668236986486e-05
SETD7,7.135219855072463,6.942700327868852,0.19251952720361043,0.019357753510652522,0.6280589213589927,0.036276292249726665
SETD9,3.584965942028985,3.673932131147541,-0.08896618911855603,0.13655302885908585,0.4240912330719886,0.19042597854631163
SETDB1,5.145351159420289,5.00319344262295,0.1421577167973389,0.0030985315578582265,0.6585887384176764,0.00790367259493084
SETDB2,4.8329960869565225,4.887904262295081,-0.054908175338558074,0.49937852594875565,0.4768353528153955,0.5713685262952668
SETMAR,4.677081739130434,4.907072786885246,-0.2299910477548126,8.493665055281516e-08,0.23877405559515327,1.4313292510597824e-06
SETSIP,6.129835217391304,5.917432950819673,0.21240226657163142,0.00622067837648136,0.6300784034212402,0.014072860163397044
SETX,6.978288405797101,6.68699426229508,0.29129414350202065,0.00020035426514664688,0.6963649322879544,0.0008256461404467197
SEZ6,3.322448695652174,3.504502950819672,-0.18205425516749774,2.044719029694671e-05,0.28652886671418387,0.00012717821750927397
SEZ6L,3.8561857971014493,4.039801803278688,-0.1836160061772385,0.017797031783459254,0.3722974578284628,0.033807599882671936
SEZ6L2,4.927652173913043,5.0688542622950825,-0.1412020883820393,0.07590952242080012,0.40472796388690896,0.11511016427740617
SF1,6.733042898550724,6.876168196721311,-0.14312529817058728,0.0024304596007252792,0.3045854122119268,0.0064555149904803825
SF3A1,5.64720492753623,5.661287540983607,-0.014082613447376602,0.7436006556256394,0.44571157044428605,0.7901324788568215
SF3A2,5.946410579710146,5.908048852459017,0.03836172725112874,0.3451255224757923,0.531480161558565,0.41875202147781593
