gene,importance_rf
ATP2C2,0.0
FNDC1,0.0
GREM1,0.0
TMEM133,0.0
HIST1H4H,0.0
KLK6,0.0
LIMS1,0.0
PAK1,0.0
KLF7,0.0
SESTD1,0.0
BST2,0.0
TNFRSF21,0.0
LRRC15,0.0
TANC2,0.0
PPARG,0.0
FAP,0.0
KLF5,0.0
RASAL2,0.0
ADGRF4,0.0
CAPZB,0.0
ANGPT2,0.0
NUAK1,0.0
PARP9,0.0
STK38,0.0
BHLHE40,0.0
SLC35F2,0.0
SKIL,0.0
COL5A1,0.0
GPI,0.0
HOXB3,0.0
TGIF1,0.0
CKAP2,0.0
ADGRG6,0.0
FCGR3A,0.0
CORIN,0.0
EPHA2,0.0
STAT1,0.0
LYZ,0.0
SAMD9L,0.0
S100A14,0.0
TAP2,0.0
SLC25A12,0.0
TRIP10,0.0
FRRS1,0.0
TSC22D1,0.0
CHML,0.0
IFI6,0.0
SLC25A24,0.0
TRAK1,0.0
CCL20,0.0
ADAM19,0.0
MATN3,0.0
ANTXR2,0.0
DCBLD1,0.0
