gene,importance_rf
SLC22A3,0.0
RHOF,0.0
ATP2C1,0.0
ENTPD1,0.0
BGN,0.0
COL12A1,0.0
WDHD1,0.0
ADGRF1,0.0
RAD51AP1,0.0
TGM2,0.0
RARRES3,0.0
ENO1,0.0
KCND2,0.0
MAP4K4,0.0
CALU,0.0
KDM5B,0.0
SLC16A4,0.0
MET,0.0
ZC2HC1A,0.0
SGPP2,0.0
FAT1,0.0
LIPH,0.0
KCNK1,0.0
TNIK,0.0
RAI14,0.0
ITPR3,0.0
KYNU,0.0
DCBLD2,0.0
PLEKHB2,0.0
PTPN12,0.0
DEPDC1B,0.0
ACTN1,0.0
TRIM31,0.0
MR1,0.0
NPR3,0.0
MSLN,0.0
FAM26E,0.0
ARPC1B,0.0
PADI1,0.0
SHCBP1,0.0
DHRS9,0.0
GPX8,0.0
PGM2,0.0
AK4,0.0
TAP1,0.0
SULF2,0.0
ADAM28,0.0
COL5A2,0.0
ANXA8L1,0.0
SIPA1L1,0.0
SEC23A,0.0
EIF2AK2,0.0
DAPP1,0.0
AGMO,0.0
GABRP,0.0
CIT,0.0
FOXQ1,0.0
KIF11,0.0
DDX60L,0.0
TES,0.0
IL1RN,0.0
SFXN1,0.0
BZW1,0.0
VDR,0.0
SIM2,0.0
KIAA1524,0.0
NPC1,0.0
NCAPG,0.0
TPI1,0.0
ARHGAP42,0.0
ARL4C,0.0
KIF26B,0.0
KIF18A,0.0
TFAP2A,0.0
YEATS2,0.0
MIR4697HG,0.0
