gene,importance_xgb
SLC25A24,0.0
C1GALT1,0.0
ATP2C1,0.0
BGN,0.0
COL12A1,0.0
PSMD1,0.0
WDHD1,0.0
VSIG2,0.0
GAN,0.0
AEBP1,0.0
CTTNBP2NL,0.0
RAD51AP1,0.0
CHEK1,0.0
TGM2,0.0
CCNA2,0.0
LDHA,0.0
RARRES3,0.0
ACTB,0.0
GBP4,0.0
ENO1,0.0
MR1,0.0
SLC22A3,0.0
DCBLD1,0.0
ITPR3,0.0
KDM5B,0.0
KYNU,0.0
DCBLD2,0.0
PLEKHB2,0.0
CYP2C18,0.0
PTPN12,0.0
DEPDC1B,0.0
ACTN1,0.0
TRIM31,0.0
FHL2,0.0
IL2RG,0.0
CALU,0.0
CYB5B,0.0
MAP4K4,0.0
LEF1,0.0
ZNFX1,0.0
TRAK1,0.0
CCL20,0.0
ADAM19,0.0
GPD2,0.0
MATN3,0.0
ANTXR2,0.0
ZNF860,0.0
MUC13,0.0
