gene,importance_l1,rank_l1,importance_rf,rank_rf,importance_xgb,rank_xgb,log2fc,auc,log2fc_val,auc_val,stability_score,rank_score_l1,rank_score_rf,rank_score_xgb,model_consensus_score,consensus_score
SEMA3C,0.0,70,0.0,333,0.0,64,5.528130582654915,0.9752405301756039,1.2586981800902812,0.7552862912805892,0.865261968802787,0.9211711711711712,0.625,0.9279279279279279,0.8246996996996997,0.8449808342512434
SLFN13,0.0,33,0.0,343,0.0,101,2.433609506829038,0.9293043127228688,0.5633618175338562,0.8049417913993823,0.8671230338699614,0.9628378378378378,0.6137387387387387,0.8862612612612613,0.8209459459459459,0.8440344899079537
DYNLT1,0.0,40,0.0,353,0.0,84,2.7520516685729675,0.9913207293278612,0.5320739961986227,0.7407935376574009,0.8660474556752933,0.954954954954955,0.6024774774774775,0.9054054054054054,0.8209459459459459,0.8434967008106196
MMP13,0.00316271060924974,28,0.0,326,0.0,111,8.647941633586758,0.9800174931036804,0.6318130624851506,0.7429318127821335,0.861455558747867,0.9684684684684685,0.6328828828828829,0.875,0.8254504504504504,0.8434530045991586
CHST11,0.0,51,0.0,336,0.0,97,3.1162146807508577,0.9494718428311916,0.6097797624138748,0.7859349014017581,0.867703037994759,0.9425675675675675,0.6216216216216216,0.8907657657657657,0.8183183183183184,0.8430106781565387
KIF4A,0.020207958854820608,21,0.009765305860139429,28,0.0,470,6.418663964206419,0.996434098095943,0.5512403183654064,0.7626514611546685,0.8795373753060313,0.9763513513513513,0.9684684684684685,0.47072072072072074,0.8051801801801802,0.8423587777431057
MVP,0.0,50,0.0,340,0.0,98,2.2159995290318237,0.9543329072192693,0.5088243383226416,0.7809455927773818,0.8676389574916566,0.9436936936936937,0.6171171171171171,0.8896396396396397,0.816816816816817,0.8422278871542368
EPS8,0.0,53,0.00010320612057167214,213,0.0,229,2.6110053152122723,0.956183139339299,0.7461530672368717,0.7830838679021144,0.8696331433981148,0.9403153153153153,0.7601351351351351,0.7421171171171171,0.8141891891891891,0.841911166293652
CALM2,0.0,120,9.288550851450491e-05,223,0.0,137,2.903087579896386,0.9896050595438337,0.5130490068899958,0.7379425041577572,0.8637527781478326,0.8648648648648649,0.7488738738738738,0.8457207207207207,0.8198198198198199,0.8417862989838263
RHPN2,0.0,36,0.0,368,0.0,82,2.7650295734373946,0.9443248334791092,0.6877002375861245,0.7871228320266095,0.8657235767470248,0.9594594594594594,0.5855855855855856,0.9076576576576577,0.8175675675675675,0.8416455721572962
CNN2,0.0,75,0.0,350,0.0,60,2.2092579593621746,0.9382695283590122,0.5740861891185549,0.7923497267759563,0.8653095337085008,0.9155405405405406,0.6058558558558559,0.9324324324324325,0.8179429429429429,0.8416262383257218
IL2RA,0.0,37,0.0,347,0.0,105,5.963869740294692,0.9819686469757115,0.5438269470182919,0.7514849132810644,0.8667213282684189,0.9583333333333334,0.6092342342342343,0.8817567567567568,0.8164414414414415,0.8415813848549302
NEK2,0.02777683862089921,19,0.0004533167636966646,86,0.0,485,7.412453293413174,0.9924813294758796,0.6888971109527193,0.816583511522927,0.904532340289755,0.9786036036036037,0.9031531531531531,0.45382882882882886,0.7785285285285286,0.8415304344091419
FXYD5,0.0,543,0.009655479977835052,35,0.0037939043,19,4.990798042118012,0.9911357061158581,0.7444489736279412,0.8208600617723925,0.9059978827041207,0.3885135135135135,0.9605855855855856,0.9786036036036037,0.7759009009009009,0.8409493918025108
SERPINH1,0.0,91,7.730053102103919e-05,253,0.0,135,3.9850327457444665,0.9884949202718158,0.6370483155143747,0.7348538845331433,0.8616659619378281,0.8975225225225225,0.7150900900900901,0.847972972972973,0.8201951951951951,0.8409305785665115
