gene,mean_pdac,mean_normal,log2fc,p_value,auc,specificity_score,fdr
ABCG5,-3.6914528089887635,-6.96281736526946,3.271364556280697,3.770839980490208e-33,0.8735786853259773,0.2994011976047904,1.8281848621790687e-32
ABCG8,-4.737525280898877,-8.7685748502994,4.031049569400523,1.4048121697927193e-27,0.8389120635134226,0.0,5.92095127121572e-27
ABHD1,-1.1785241573033707,-1.6499982035928145,0.4714740462894438,0.0001415919165353669,0.6185157774338962,0.20359281437125748,0.0003341227014122187
ABHD10,3.4426286516853937,2.4202149700598805,1.0224136816255132,6.920466804875848e-46,0.9428614680750858,0.8922155688622755,5.693131103727454e-45
ABHD11,5.328826966292135,4.243579041916168,1.0852479243759667,3.991775107991905e-24,0.8155486779250488,0.2874251497005988,1.568357998667162e-23
ABHD11-AS1,3.1469455056179774,-0.33233113772455086,3.479276643342528,1.568633438631841e-40,0.9151248065666419,0.592814371257485,9.68100668652464e-40
ABHD12,5.6221786516853935,4.948835928143713,0.6733427235416807,2.5442371440618627e-21,0.7952465854807239,0.5029940119760479,9.42958092726104e-21
ABHD12B,-3.0352353932584273,-5.898662275449102,2.8634268821906743,5.290238907819781e-21,0.7928581040166858,0.4491017964071856,1.94861346490814e-20
ABHD13,2.255661797752809,0.37745508982035925,1.8782067079324498,1.4383946630113055e-53,0.9798829307676782,0.9880239520958084,3.993488045206886e-52
ABHD14A,4.334126404494382,2.84652874251497,1.4875976619794122,4.169351285252821e-49,0.9587398237233398,0.9461077844311377,4.5945215884385915e-48
ABHD14A-ACY1,-0.9257567415730337,-2.1374532934131736,1.21169655184014,4.602819646810696e-18,0.7697974836843168,0.46706586826347307,1.595773082380407e-17
ABHD14B,5.769502808988765,4.51753233532934,1.2519704736594246,6.336794622028929e-47,0.9480421180111687,0.8562874251497006,5.6484443967297124e-46
ABHD15,3.0557696629213478,1.441397005988024,1.6143726569333239,2.7286594836350224e-49,0.9596312991993541,0.9281437125748503,3.075766811830349e-48
ABHD15-AS1,-9.71372415730337,-9.594247904191613,-0.11947625311175614,0.6957864881671543,0.4878221085918052,0.0,1.0
ABHD16A,5.349255617977528,3.8881940119760476,1.4610616060014805,3.070561687077065e-48,0.9545179304312723,0.9401197604790419,3.0716628106328815e-47
ABHD16B,-6.882807865168539,-7.4458059880239515,0.5629981228554124,0.44958596581143606,0.5235484088003768,0.0,0.7464345160185846
ABHD17A,5.078561797752809,4.093962275449102,0.9845995223037072,1.1956234886235086e-24,0.8191986812891071,0.10179640718562874,4.746921015727127e-24
ABHD17AP1,-3.733748314606742,-5.122885628742515,1.3891373141357732,2.2198743994518595e-14,0.7378557491758057,0.0,7.093354180673615e-14
ABHD17AP3,-6.841034831460675,-8.059924550898204,1.218889719437529,0.0002458242760800766,0.614192962389827,0.0,0.0005729314468687872
ABHD17AP4,-7.0874016853932575,-9.409907784431136,2.322506099037878,3.77317748263656e-09,0.683559846598937,0.0,1.0582491985940171e-08
ABHD17AP5,-6.756674719101123,-9.067931736526946,2.311257017425823,2.071028570302152e-09,0.6866211397429859,0.0,5.8528112632963664e-09
ABHD17AP6,-7.651507303370787,-8.946640119760477,1.2951328163896907,0.00021236305412974878,0.6153535625378458,0.0,0.0004965847067689131
ABHD17AP9,-9.9658,-9.885720359281436,-0.080079640718564,0.8475332087309093,0.4940119760479042,0.0,1.0
ABHD17B,2.6629353932584268,1.0188898203592813,1.6440455728991454,2.2514282451774624e-49,0.9600349862073606,0.9041916167664671,2.5585047144663616e-48
ABHD17C,4.957999438202247,1.144167664670659,3.813831773531588,1.1914735435957448e-56,0.9939615151719032,1.0,5.138724206405117e-54
ABHD2,5.602025280898876,3.529205389221557,2.072819891677319,1.1370921621553855e-46,0.9467805961111485,0.8862275449101796,9.900712834605327e-46
ABHD3,4.076761235955056,2.1964281437125748,1.880333092242481,4.03817431230158e-49,0.9588071048913409,0.9101796407185628,4.457514403409438e-48
ABHD4,4.438783146067416,2.5386628742514974,1.9001202718159185,4.966214771514507e-52,0.9727006660835632,0.9640718562874252,8.762826130424438e-51
ABHD5,3.264717415730337,2.36725748502994,0.8974599307003968,4.586862065913317e-13,0.7253919128036063,0.5209580838323353,1.425555555643631e-12
ABHD6,2.085211797752809,-0.1504820359281437,2.2356938336809526,2.4953261613298337e-53,0.9787727914956603,0.9640718562874252,6.287255993843569e-52
ABHD8,2.7767174157303374,1.898322155688623,0.8783952600417144,1.4103824752148655e-26,0.8323016887573169,0.4251497005988024,5.813510820472983e-26
ABI1,4.770952247191012,2.6809005988023955,2.0900516483886165,9.54768700444815e-54,0.9807071250756915,0.9880239520958084,2.8756455136636355e-52
ABI2,3.8643449438202246,1.5009640718562873,2.3633808719639373,3.6015825919907024e-52,0.9733566574715736,0.9880239520958084,6.55638004417052e-51
ABI3,3.170707865168539,0.4232766467065869,2.7474312184619523,1.1021352922057692e-51,0.9710690977595371,0.9520958083832335,1.7815725042137465e-50
ABI3BP,3.625266292134831,1.2940155688622754,2.3312507232725554,6.412455175314325e-38,0.9009116598264146,0.6946107784431138,3.587508706189366e-37
ABL1,4.453764606741573,2.9039035928143715,1.5498610139272015,1.0254202828307738e-45,0.942003633183072,0.8622754491017964,8.311906128201129e-45
ABL2,2.2570280898876405,0.5861922155688623,1.6708358743187781,2.5974296119579645e-47,0.9499596312991992,0.9520958083832335,2.3913252254928415e-46
ABLIM1,4.9427022471910105,2.9531982035928146,1.9895040435981959,1.313796328299639e-48,0.9563177016753011,0.9221556886227545,1.3636339955372279e-47
ABLIM2,3.0316983146067416,0.885088622754491,2.146609691852251,4.349203026169989e-48,0.9537778375832604,0.8922155688622755,4.282027940774187e-47
ABLIM3,3.846123033707865,0.13951317365269464,3.7066098600551705,1.756054697508109e-52,0.9748200228755971,0.9880239520958084,3.456701620790408e-51
ABO,1.9786449438202247,1.1826646706586825,0.7959802731615422,2.5775698706725847e-06,0.646437462154343,0.08383233532934131,6.560221601158739e-06
ABR,5.311652247191011,3.044610179640719,2.2670420675502925,1.862138090092508e-51,0.9699925990715199,0.9640718562874252,2.8737068349765337e-50
ABRA,-6.422845505617977,-6.925709580838323,0.5028640752203453,0.11159563957248501,0.5495525802327929,0.0,0.21061160315063612
ABRACL,5.317152808988763,2.3526000000000002,2.964552808988763,4.045041868811432e-53,0.9777972145596447,0.9940119760479041,9.578116318384904e-52
ABT1,3.391826404494382,1.662114371257485,1.729712033236897,1.045784721467914e-54,0.985130861871762,0.9940119760479041,5.1655240108188765e-53
