gene,mean_pdac,mean_normal,log2fc,p_value,auc,specificity_score,fdr
SMS,5.927804494382022,2.9952598802395216,2.9325446141425,1.2438173339645354e-56,0.993877413711902,1.0,5.1676640596437196e-54
CTC-512J14.5,-0.7571623595505618,-7.197698802395209,6.440536442844647,1.2545577760593963e-56,0.9938605934199017,1.0,5.175580921079964e-54
PHB,6.907117415730337,4.702698203592814,2.2044192121375223,1.2653905949006046e-56,0.9938437731279015,1.0,5.1837654853057567e-54
POMP,6.361091573033708,3.881276646706587,2.4798149263271205,1.3096615659427023e-56,0.9937764919599005,1.0,5.240668882738977e-54
RP11-345J4.5,4.7266876404494385,2.025761077844311,2.7009265626051273,1.3209682743548232e-56,0.9937596716679001,1.0,5.240668882738977e-54
ITGB5,7.202334269662921,3.3681730538922157,3.8341612157707052,1.3323722099172038e-56,0.9937428513758999,0.9880239520958084,5.240668882738977e-54
SERTAD1,4.333329213483146,1.005048502994012,3.3282807104891337,1.3323722099172038e-56,0.9937428513758999,0.9940119760479041,5.240668882738977e-54
CHMP4B,7.396365730337079,4.75311377245509,2.643251957881989,1.3323722099172038e-56,0.9937428513758998,1.0,5.240668882738977e-54
ACTB,11.86006460674157,8.112276047904192,3.747788558837378,1.3554751004273252e-56,0.9937092107918993,1.0,5.240668882738977e-54
NDC80,2.0929297752808993,-3.2929161676646714,5.38584594294557,1.378976984732733e-56,0.993675570207899,0.9940119760479041,5.240668882738977e-54
MRPS18A,5.346990449438202,3.4196856287425157,1.9273048206956864,1.378976984732733e-56,0.9936755702078988,1.0,5.240668882738977e-54
MSRB2,5.172134831460673,1.899004790419162,3.2731300410415116,1.378976984732733e-56,0.9936755702078988,0.9880239520958084,5.240668882738977e-54
SLC22A18AS,1.8377471910112362,-4.496718562874252,6.334465753885488,1.3908796896297631e-56,0.9936587499158984,1.0,5.240668882738977e-54
HSPA4,5.923442696629214,3.756268862275449,2.167173834353765,1.427205303680782e-56,0.9936082890398977,1.0,5.240668882738977e-54
SHISA2,1.9308370786516855,-3.474497604790419,5.4053346834421045,1.427205303680782e-56,0.9936082890398976,1.0,5.240668882738977e-54
