gene,mean_pdac,mean_normal,log2fc,p_value,auc,fdr,log_fdr_x,mean_pdac_val,mean_normal_val,log2fc_val,p_value_val,auc_val,fdr_val,log_fdr_y,stability_score
SLC5A3,1.0900601123595508,-0.7726215568862276,1.8626816692457784,8.318953082295554e-44,0.9322983246989167,5.967094288159127e-43,42.224237099661565,6.8097657971014485,5.999632786885247,0.8101330102162017,2.8828923084051676e-10,0.8210976478973627,1.7964640138638184e-08,7.74558147800673,0.8766979705485759
RIOK3,5.4983393258426965,3.861551497005988,1.6367878288367086,6.589008956471037e-47,0.9479580165511673,5.862556708369226e-46,45.231912943336525,7.372103768115943,6.859754426229509,0.5123493418864342,2.0093551364411903e-09,0.8054169636493229,8.038626158846626e-08,7.094818167994631,0.8766874196266152
NT5C2,5.098284831460674,3.526377844311377,1.5719069871492972,7.822844603445133e-47,0.9475879701271614,6.911024878817966e-46,45.160457543622854,6.9120520289855065,6.4037855737704925,0.508266455215014,1.9524527847741815e-09,0.8056545497742932,7.858131399162566e-08,7.1046807134404615,0.8766211910646767
LYZ,9.41110561797753,3.518215568862275,5.8928900491152545,2.5051987882803517e-52,0.9740967503195855,4.74788256927374e-51,50.32350003111321,8.592509130434781,7.5456022950819674,1.0469068353528135,4.2721115757595654e-08,0.7790449037776194,8.957552185526057e-07,6.0478106530117,0.8765700418557096
GRAMD3,3.687317415730337,1.6811844311377244,2.006132984592613,1.2748950287655977e-50,0.9660230101594564,1.7012443207316056e-49,48.7692333115926,5.625798260869565,5.092819999999999,0.5329782608695659,1.769296387320691e-08,0.7868852459016394,4.4073767914789265e-07,6.355819819591032,0.8764537417441897
SAMD9L,2.9037033707865167,0.029109580838323375,2.8745937899481935,6.692669850793329e-47,0.9479243759671667,5.950270033834026e-46,45.225463324768434,5.378211884057971,4.510490327868853,0.8677215561891183,2.1280476544302768e-09,0.8049417913993824,8.33020298073754e-08,7.07934441607938,0.8764330106746197
CTTN,7.083067415730337,5.842041317365269,1.2410260983650678,7.994540739307201e-40,0.9113234205745812,4.801888557873015e-39,38.31858792325909,7.633376231884057,6.907104262295084,0.7262719695889732,2.0631001544692197e-11,0.8412924685198384,2.531790944162442e-09,8.596572157874668,0.8763079423285811
S100A14,7.02872191011236,2.3778532934131738,4.650868616699186,1.3080742209496358e-46,0.9464778308551436,1.1340579537879326e-45,44.94536475111579,5.613444782608696,4.530548688524591,1.0828960940841057,1.9524527847741815e-09,0.8056545497742931,7.858131399162566e-08,7.1046807134404615,0.8760661214722859
SLC44A4,6.503857303370786,1.618071856287425,4.885785447083361,1.9914543334919845e-50,0.9650978940994416,2.5792922023058576e-49,48.588499454814155,6.884178405797101,5.808415901639345,1.0757625041577565,1.817812064322365e-08,0.786647659776669,4.500209742901023e-07,6.3467672444331535,0.8758723827769348
TAP2,5.01088595505618,2.3108742514970064,2.7000117035591735,8.402786928472597e-53,0.9763170288636212,1.8110509972658322e-51,50.74206932024403,5.271636135265701,4.7510355737704915,0.5206005614952094,6.49622266689683e-08,0.7752435257780945,1.2482607301242776e-06,5.903694692035332,0.8757791841187295
SLC25A12,3.1498393258426964,0.7553053892215569,2.39453393662114,9.35295083198817e-52,0.9714055035995425,1.5377637179026073e-50,49.813110390083544,5.5608149275362315,4.849071967213115,0.7117429603231162,3.946865958032179e-08,0.7797576621525303,8.38992133459274e-07,6.076242111175167,0.8755808482699762
TRIP10,5.967893258426965,4.386600598802395,1.5812926596245704,1.321783061119091e-34,0.8821233936621139,6.656754943553771e-34,33.17673743052336,6.418706666666667,5.858146557377048,0.5605601092896189,4.713499119393085e-13,0.8683772867664528,2.1684366707884275e-10,9.66385325690408,0.8752503400244908
LINC01559,1.7110016853932586,-7.915083233532933,9.62608491892619,6.183452035870867e-51,0.9675200161474804,8.715899993102773e-50,49.059687761525,3.2788159420289853,2.5911480327868848,0.6876679092421005,2.7942963377773682e-08,0.7828462817771442,6.344416531732202e-07,6.197608311898768,0.8751825937096684
TFF1,8.12181235955056,-2.240116766467066,10.361929126017627,3.5371219820456055e-50,0.9639036533674223,4.405871631516343e-49,48.35596816050714,6.797873623188406,5.2859644262295085,1.5119091969588974,1.86761852639641e-08,0.7864100736516988,4.5725793615064125e-07,6.339838748188296,0.8751564633371394
IQGAP1,6.546869101123597,4.1832958083832334,2.363573292740363,4.469676020132526e-53,0.9775953710556415,1.0435954202287105e-51,50.98146783544932,8.81582884057971,8.297938360655738,0.5178904799239721,8.638435392266037e-08,0.7726300784034212,1.5651686879664632e-06,5.805438848976958,0.8751113550304962
FRRS1,1.197635393258427,-1.3272443113772454,2.5248797046356724,2.5589084038998415e-38,0.9031151180784498,1.4514273161198354e-37,36.838204707678294,5.392036811594203,4.444964262295081,0.9470725492991212,9.52854818968419e-12,0.8469945355191257,1.5622913888381382e-09,8.806237961007865,0.8750548254316971
SKIL,4.086893820224719,1.0434994011976049,3.0433944190271145,2.81209781936339e-52,0.9738612662315816,5.263115091250056e-51,50.278757132937635,7.893606231884058,7.246466885245902,0.6471393466381556,5.8529756758375653e-08,0.7761938702779757,1.150069473907454e-06,5.939275923800041,0.8750265619122837
SLC35F2,3.2099584269662924,0.8288323353293414,2.381126091636951,4.783361760760747e-47,0.9486476485231783,4.305025584684673e-46,45.36602426319886,5.720656666666667,5.203847213114753,0.5168094535519137,3.2639258404043768e-09,0.8013779995248278,1.1784893246499775e-07,6.928674347180053,0.8750127209046759
BHLHE40,6.996994382022473,4.193646107784431,2.803348274238042,4.1227676940439305e-44,0.9338626118549417,3.0028080851024178e-43,42.52247242346016,7.767753333333334,7.080064590163935,0.6876887431693994,5.401224713011013e-10,0.8161083392729863,2.835713856544863e-08,7.547337594643158,0.8749854507518796
STIL,0.8032432584269664,-2.0592532934131738,2.86249655184014,7.742961142717232e-52,0.9717923703155487,1.3030462703289807e-50,49.88504016249788,3.7074307246376805,3.058372295081967,0.6490584295557134,4.872769545253459e-08,0.7778569731527679,9.97645948963203e-07,6.00102355660087,0.8748237989688685
STK38,4.559169662921348,2.064562874251497,2.494606788669851,2.3644972114148457e-52,0.9742144923635874,4.508939164775165e-51,50.34592562421454,6.583887826086957,5.992214426229508,0.5916733998574486,7.023080444906278e-08,0.7745307674031836,1.3215679975490148e-06,5.8789104865613355,0.8743714743404999
