gene_A,gene_B,K_final_A,K_final_B,discovery_sensitivity,discovery_specificity,GSE62452_sensitivity,GSE62452_specificity,tumor_spearman_r,threshold_instability_A,threshold_instability_B,mean_threshold_instability,performance_score,redundancy_penalty,threshold_instability_penalty,pair_score,redundancy_category
CCNB1,MMP9,0.7228724824339547,0.5052459001107324,0.9606741573033708,0.9940119760479041,1.0,0.0,0.20433620165080882,0.04176615865950621,0.0779806405713783,0.059873399615442253,0.7386715333378188,0.040867240330161765,0.005987339961544226,0.6918169530461128,low-to-moderate correlation / partial independence
MMP12,CTTN,0.39736509818459975,0.7441085239790581,0.4606741573033708,0.9940119760479041,0.7536231884057971,0.7049180327868853,0.14413110875557433,0.02207993458626133,0.13151024790823873,0.07679509124725004,0.7283068386359894,0.028826221751114867,0.007679509124725004,0.6918011077601496,weak correlation / high independence
AGR2,MMP9,0.42747807269657895,0.5052459001107324,0.9719101123595506,0.9401197604790419,1.0,0.0,-0.0910263632602724,0.2900457034734938,0.0779806405713783,0.18401317202243606,0.7280074682096481,0.01820527265205448,0.018401317202243608,0.69140087835535,weak correlation / high independence
GRN,CTTN,0.8150381531247665,0.7441085239790581,0.4606741573033708,0.9940119760479041,0.7536231884057971,0.7049180327868853,0.14672818198407592,0.022702682080163877,0.13151024790823873,0.0771064649942013,0.7283068386359894,0.029345636396815186,0.007710646499420131,0.6912505557397541,weak correlation / high independence
MMP12,CEACAM5,0.39736509818459975,0.3827813825580026,0.9382022471910112,1.0,1.0,0.0,0.19500808579729492,0.02207993458626133,0.09847649330690951,0.06027821394658542,0.7345505617977528,0.03900161715945899,0.006027821394658542,0.6895211232436353,weak correlation / high independence
LAMA3,ETV1,0.5507459804792868,0.6641001764469112,0.9775280898876404,0.9640718562874252,1.0,0.0,0.12427028907592229,0.40231310213542243,0.02482275843931166,0.21356793028736704,0.7353999865437664,0.02485405781518446,0.021356793028736706,0.6891891356998452,weak correlation / high independence
CTTN,EDIL3,0.7441085239790581,0.6311502155526197,0.4606741573033708,0.9940119760479041,0.7536231884057971,0.7049180327868853,0.15492152320278474,0.13151024790823873,0.03610149953278518,0.08380587372051196,0.7283068386359894,0.03098430464055695,0.008380587372051196,0.6889419466233814,weak correlation / high independence
MMP12,TOP2A,0.39736509818459975,0.7642964013003924,0.8932584269662921,1.0,1.0,0.0,0.13981820803168984,0.02207993458626133,0.12468589671829405,0.0733829156522777,0.723314606741573,0.02796364160633797,0.00733829156522777,0.6880126735700072,weak correlation / high independence
CTTN,ETV1,0.7441085239790581,0.6641001764469112,0.4606741573033708,0.9940119760479041,0.7536231884057971,0.7049180327868853,0.16618205456418805,0.13151024790823873,0.02482275843931166,0.0781665031737752,0.7283068386359894,0.03323641091283761,0.00781665031737752,0.6872537774057743,weak correlation / high independence
CST1,EDIL3,0.5436593060985359,0.6311502155526197,0.9157303370786517,1.0,1.0,0.0,0.13597552574591534,0.2613835538362081,0.03610149953278518,0.14874252668449664,0.7289325842696629,0.02719510514918307,0.014874252668449665,0.6868632264520301,weak correlation / high independence
