gene,threshold_std_instability,threshold_iqr
COMP,0.12075639349777745,0.12808149707086436
KIF13B,1.1102230246251565e-16,0.0
CCL18,0.18678966904089803,0.19813948895339156
KDELC1,0.07470795961204876,0.07923975727543564
HLA-F,0.0,0.0
COL4A2,0.0,0.0
NRG3,0.0,0.0
CD82,0.012576511598600649,0.015311990717713941
CAMSAP2,0.07399270292425146,0.09044943530063543
LEMD1,0.04690885905595842,0.051360824936734994
KRT7,0.0,0.0
RAB25,0.0,0.0
NUF2,0.06787332418066738,0.07632019748286667
CKMT1A,0.04718531390244208,0.05004758314924895
ASPN,0.3230302720506004,0.34262534384327226
ERN2,0.14895574065990885,0.15799142147592937
PLEKHG1,1.1102230246251565e-16,0.0
PLEKHA2,0.0,0.0
IGFL2,0.046363553422731435,0.04917597453767725
KNTC1,0.0489563859960315,0.05196864754240349
BRIP1,0.0,0.0
HLA-C,0.0,0.0
CST2,0.19407335329884787,0.21354199385027828
DNAJA4,0.3041226363438102,0.323774539991441
SLC7A7,1.1102230246251565e-16,0.0
FXYD3,0.022521514376186044,0.027391885617977896
KPNA2,0.0131318192131503,0.013928397622401611
SPOCK1,0.0,0.0
IL1A,0.0,0.0
GBP3,0.0,0.0
GAPDH,0.008430915605012036,0.009852647529325687
SMC6,0.0,0.0
CALD1,0.0,0.0
DGKA,0.04333924051885234,0.04831291617863154
KLK7,0.037642199411061436,0.039925581693506684
PRDM1,0.0,0.0
GPR87,0.0,0.0
KCNN4,0.0,0.0
MXD1,0.084329261757052,0.08944468926130034
CLEC7A,0.0,0.0
S100A6,0.4038657702968961,0.45523212571278293
SULT1B1,0.0,0.0
EPS8,0.06208203450106043,0.0658479413783356
ANKRD50,0.0,0.0
FLNA,0.0,0.0
GALNT5,0.22696573631851277,0.2413499676430142
COL3A1,0.0,0.0
SCIN,0.00835705628984254,0.008863996759958082
HIST1H2BD,0.11492525486635238,0.12189664056838512
WFDC2,1.1102230246251565e-16,0.0
TEP1,0.0,0.0
MARCO,0.0,0.0
KCND2,0.01202834477591321,0.012757986236247021
UBE2C,0.1332719621258459,0.15153207727419715
ARL6IP1,0.0,0.0
C15orf48,0.07426758342738692,0.07877266779576442
