gene,K_EN,K_RF,K_XGB,K_mean,K_median,K_std,K_IQR,K_final,threshold_instability_score,threshold_method_EN,threshold_method_RF,threshold_method_XGB,fallback_used,fallback_reason,K_EN_orig,K_RF_orig,K_XGB_orig,K_mean_orig
RCN1,0.8169633463163388,0.8240369946371957,0.9082685426399731,0.8497562945311693,0.8240369946371957,0.041475064871972264,0.045652598161817104,0.8497562945311693,0.041475064871972264,linear_coefficient_crossing,polynomial_shap_crossing,polynomial_shap_crossing,no,None,4.626554202898548,4.752901587111199,6.257420228072407,5.212292006027386
CTTN,0.5581351227863373,0.8387800076291247,0.8354104415217126,0.7441085239790581,0.8354104415217126,0.13151024790823873,0.1403224424213937,0.7441085239790581,0.13151024790823873,linear_coefficient_crossing,polynomial_shap_crossing,polynomial_shap_crossing,no,None,6.482338840579718,7.709907631370555,7.695168812260124,7.295805094736799
SDC1,0.7495399794829235,0.7688820566996445,0.9377428581249206,0.8187216314358295,0.7688820566996445,0.08453034283497024,0.09410143932099857,0.8187216314358295,0.08453034283497024,youden_index_fallback,polynomial_shap_crossing,polynomial_shap_crossing,yes,EN: Zero coefficient in SAGA Elastic Net model,4.813254545454545,5.194631952975242,8.524144805078125,6.1773437678359695
TPX2,0.6073744887059959,0.966439069078539,0.5951758516115382,0.7229964697986911,0.6073744887059959,0.17221193540680635,0.18563160873350038,0.7229964697986911,0.17221193540680635,linear_coefficient_crossing,polynomial_shap_crossing,youden_index_fallback,yes,XGB: No XGBoost SHAP zero-crossing found,-0.17947855072463972,5.605949500527961,-0.3760290909090903,1.6834806196314123
TOP2A,0.664384521012934,0.9400818745185795,0.688422808369664,0.7642964013003924,0.688422808369664,0.12468589671829405,0.13784867675282275,0.7642964013003924,0.12468589671829405,linear_coefficient_crossing,polynomial_shap_crossing,youden_index_fallback,yes,XGB: No XGBoost SHAP zero-crossing found,0.535461739130435,4.893134108640667,0.9154109090909093,2.1146689189540044
PTPRR,0.5566234072874768,0.568220369602873,0.5077221786536467,0.5441886518479988,0.5566234072874768,0.02621672664746668,0.030249095474613186,0.5441886518479988,0.02621672664746668,linear_coefficient_crossing,polynomial_shap_crossing,youden_index_fallback,yes,XGB: No XGBoost SHAP zero-crossing found,-1.1646933333333327,-0.9813268039872144,-1.9379,-1.3613067124401823
ETV1,0.6804527817412096,0.6290222338893162,0.6828255137102078,0.6641001764469112,0.6804527817412096,0.02482275843931166,0.026901639910445807,0.6641001764469112,0.02482275843931166,linear_coefficient_crossing,polynomial_shap_crossing,youden_index_fallback,yes,XGB: No XGBoost SHAP zero-crossing found,1.1044182608695647,0.267699820921897,1.1430200000000001,0.8383793605971537
DOCK5,0.8068709606353742,0.9207466706426878,0.818280288756981,0.8486326400116809,0.818280288756981,0.05120461081083721,0.05693785500365678,0.8486326400116809,0.05120461081083721,linear_coefficient_crossing,polynomial_shap_crossing,youden_index_fallback,yes,XGB: No XGBoost SHAP zero-crossing found,1.9825872463768106,3.668892922878114,2.1515400000000002,2.601006723084975
EDIL3,0.6686550448703797,0.582397496959316,0.6423981048281633,0.6311502155526197,0.6423981048281633,0.03610149953278518,0.04312877395553194,0.6311502155526197,0.03610149953278518,linear_coefficient_crossing,polynomial_shap_crossing,youden_index_fallback,yes,XGB: No XGBoost SHAP zero-crossing found,1.3988617391304339,-0.06719742243037968,0.9525909090909094,0.76141840859699
DNTTIP1,0.7574775819549118,0.7863078617990584,0.7574775819549118,0.767087675236294,0.7574775819549118,0.013590724254201294,0.014415139922073328,0.767087675236294,0.013590724254201294,youden_index_fallback,polynomial_shap_crossing,youden_index_fallback,yes,EN: Zero coefficient in SAGA Elastic Net model; XGB: No XGBoost SHAP zero-crossing found,3.5013181818181818,4.013888844139281,3.5013181818181818,3.6721750692585466
DSG2,0.7892972527297847,0.9399097361359608,0.7892972527297847,0.8395014138651767,0.7892972527297847,0.0709994055652357,0.07530624170308808,0.8395014138651767,0.0709994055652357,youden_index_fallback,polynomial_shap_crossing,youden_index_fallback,yes,EN: Zero coefficient in SAGA Elastic Net model; XGB: No XGBoost SHAP zero-crossing found,3.801990909090909,6.429139518393182,3.801990909090909,4.677707112191666
CAPN9,0.48119203302805713,0.4676188747537623,0.9020412376590881,0.6169507151469692,0.48119203302805713,0.2016655848611086,0.21721118145266294,0.6169507151469692,0.2016655848611086,linear_coefficient_crossing,youden_index_fallback,polynomial_shap_crossing,yes,RF: No RF SHAP zero-crossing found,-1.771580869565214,-2.0027181818181816,5.395060236096611,0.5402537282377384
ANKLE2,0.8723688577723029,0.8633110872067616,0.8723688577723029,0.8693496009171224,0.8723688577723029,0.004269873992884083,0.004528885282770623,0.8693496009171224,0.004269873992884083,youden_index_fallback,polynomial_shap_crossing,youden_index_fallback,yes,EN: Zero coefficient in SAGA Elastic Net model; XGB: No XGBoost SHAP zero-crossing found,4.275098181818182,4.12723551199806,4.275098181818182,4.225810625211475
