gene,mean_pdac,mean_normal,log2fc,p_value,auc,specificity_score,fdr
ATP5J2,8.876890449438203,6.492323952095808,2.3845664973423952,5.075316659682233e-37,0.9941801789679068,1.0,4.581157553788057e-36
LPAR5,2.4689061797752805,-2.459590419161677,4.928496598936958,4.3587064094040296e-106,0.9941465383839063,1.0,1.9198299260849433e-103
KPNA2,4.8755651685393255,1.4553904191616767,3.420174749377649,4.045550106239668e-75,0.994062436923905,1.0,2.248504466542941e-73
EIF6,7.52362808988764,4.759242514970061,2.764385574917579,7.577772389198378e-50,0.9940456166319047,1.0,1.2269582209276678e-48
CXCL16,6.4291101123595515,2.6927239520958084,3.736386160263743,4.89227100513047e-74,0.9940456166319047,1.0,2.5250583942867673e-72
BSG,8.934922471910111,6.581944910179641,2.3529775617304702,3.769822012719595e-36,0.9940456166319047,0.9940119760479041,3.2750992633416366e-35
CDCA5,2.419761797752809,-2.3240754491017963,4.743837246854605,3.0889882818866945e-110,0.9939951557559038,0.9880239520958084,2.1542383635857673e-107
SNRPD3,6.715042134831461,4.218161077844312,2.4968810569871493,2.135195727228733e-46,0.9939783354639037,0.9940119760479041,2.9605183644209805e-45
RP11-343C2.12,3.2448460674157302,0.6685407185628743,2.576305348852856,3.2297247725221573e-35,0.9939783354639037,0.9940119760479041,2.6980091499736426e-34
COA6,5.055823033707864,2.620165868263473,2.435657165444391,1.059662278169453e-50,0.9939783354639037,1.0,1.784821044204851e-49
PVRL2,6.951912921348315,4.060642514970059,2.891270406378256,1.1288683247360253e-53,0.9939783354639036,1.0,2.202872595981382e-52
HRH1,2.226858988764045,-3.352004191616766,5.578863180380811,1.5315283147143075e-132,0.9939615151719033,1.0,7.47653835035657e-129
ABHD17C,4.957999438202247,1.144167664670659,3.813831773531588,1.616936649995498e-89,0.9939615151719032,1.0,2.0636550303569997e-87
CDK1,3.3791539325842694,-1.7782670658682633,5.157420998452533,1.6046559938073143e-109,0.9939446948799031,1.0,1.0217647040568073e-106
NDUFB3,6.248302247191011,3.860597604790419,2.3877046424005917,5.823869901043359e-45,0.9939446948799031,0.9940119760479041,7.603479444462247e-44
MMP11,7.742153370786515,-0.8678982035928146,8.61005157437933,4.6014509141772625e-133,0.9939278745879029,1.0,2.4505236000310744e-129
MRPS35,5.25799606741573,2.878007185628743,2.3799888817869874,9.888741495199955e-49,0.9939110542959025,1.0,1.5232510269006273e-47
APEX2,3.702601685393259,1.359760479041916,2.342841206351343,3.151664566593603e-53,0.9938942340039023,0.9940119760479041,5.992459006024663e-52
SMS,5.927804494382022,2.9952598802395216,2.9325446141425,9.836319075439736e-61,0.993877413711902,1.0,2.695142225249463e-59
CTC-512J14.5,-0.7571623595505618,-7.197698802395209,6.440536442844647,1.454229352709232e-66,0.9938605934199017,1.0,5.200867503727687e-65
PHB,6.907117415730337,4.702698203592814,2.2044192121375223,3.1360265872820886e-38,0.9938437731279015,1.0,2.999862402181124e-37
POMP,6.361091573033708,3.881276646706587,2.4798149263271205,4.148403360251386e-47,0.9937764919599005,1.0,5.933047296066564e-46
RP11-345J4.5,4.7266876404494385,2.025761077844311,2.7009265626051273,1.6272216868499395e-56,0.9937596716679001,1.0,3.618992924728789e-55
ITGB5,7.202334269662921,3.3681730538922157,3.8341612157707052,2.593823121837232e-75,0.9937428513758999,0.9880239520958084,1.4512774813786713e-73
SERTAD1,4.333329213483146,1.005048502994012,3.3282807104891337,9.494627035838198e-75,0.9937428513758999,0.9940119760479041,5.178815143262919e-73
CHMP4B,7.396365730337079,4.75311377245509,2.643251957881989,3.428738463282199e-47,0.9937428513758998,1.0,4.931473801068856e-46
ACTB,11.86006460674157,8.112276047904192,3.747788558837378,2.618984374676242e-54,0.9937092107918993,1.0,5.272258544773504e-53
NDC80,2.0929297752808993,-3.2929161676646714,5.38584594294557,1.3940903697702106e-109,0.993675570207899,0.9940119760479041,9.090090131139021e-107
MSRB2,5.172134831460673,1.899004790419162,3.2731300410415116,2.4520763891431624e-69,0.9936755702078988,0.9880239520958084,9.947720703074488e-68
MRPS18A,5.346990449438202,3.4196856287425157,1.9273048206956864,4.466572823683415e-36,0.9936755702078988,1.0,3.87065536367157e-35
SLC22A18AS,1.8377471910112362,-4.496718562874252,6.334465753885488,4.07124395511522e-87,0.9936587499158984,1.0,4.551479811729097e-85
HSPA4,5.923442696629214,3.756268862275449,2.167173834353765,1.7783000721537971e-40,0.9936082890398977,1.0,1.883467664560506e-39
SHISA2,1.9308370786516855,-3.474497604790419,5.4053346834421045,8.703191684861652e-120,0.9936082890398976,1.0,1.4162268669191124e-116
RABIF,2.7749713483146063,0.10588682634730538,2.669084521967301,8.196671629306947e-68,0.9935746484558973,1.0,3.126101697372593e-66
CTSD,9.664415168539326,6.83512754491018,2.8292876236291464,9.659354765948897e-44,0.9935746484558972,1.0,1.1910222301495522e-42
FOXP3,0.7001359550561799,-4.3744317365269465,5.074567691583127,7.24701222482495e-103,0.9935746484558972,1.0,2.512054574807517e-100
CTB-193M12.5,2.6203376404494385,-1.294999401197605,3.915337041647043,2.6685978254798013e-84,0.9935578281638969,0.9940119760479041,2.4541464554855924e-82
NCAPH,1.8822511235955057,-3.5600556886227555,5.442306812218261,3.0041566339144323e-91,0.9935578281638968,0.9940119760479041,4.37777362615277e-89
TIMM23,5.480423033707865,3.257736526946108,2.222686506761757,1.5674909586641718e-43,0.9935578281638968,1.0,1.9106364513005797e-42
HSPB1P1,2.5306106741573036,-7.820655688622752,10.351266362780056,1.0121565529424247e-81,0.9935410078718967,0.9880239520958084,7.916307480363175e-80
PSENEN,6.900941573033708,4.451530538922156,2.4494110341115523,5.856866650880617e-44,0.9935410078718967,1.0,7.3124702744083e-43
CLIC1,9.110446629213483,5.613838323353293,3.49660830586019,3.3392239766983123e-59,0.9935073672878961,1.0,8.471852740535464e-58
GSS,5.063376404494382,2.343411976047904,2.719964428446478,1.2419660423510017e-57,0.993507367287896,1.0,2.8986299891220732e-56
CYSTM1,7.9069814606741575,4.72284371257485,3.1841377480993076,4.1346137098270954e-58,0.9934737267038957,0.9940119760479041,9.894191410759031e-57
GSTO1,7.172673595505618,4.732369461077845,2.440304134427773,8.91951444721637e-43,0.9934737267038956,1.0,1.048382977191778e-41
MRPL47,5.037721348314607,2.514053293413174,2.523668054901433,1.3346852265700318e-52,0.9934569064118953,1.0,2.4711502925947863e-51
MCM6,3.538709550561798,0.5826053892215568,2.956104161340241,2.1005220846572447e-71,0.9934569064118952,1.0,9.60583015154614e-70
SLC15A3,5.9257123595505625,1.6219736526946107,4.303738706855952,5.0609438161491515e-90,0.9934400861198951,0.9940119760479041,6.72279251006425e-88
DPCD,4.759884269662922,2.2976203592814377,2.462263910381484,6.770772121971689e-53,0.9934400861198949,1.0,1.2688374973679575e-51
LMNA,8.19856573033708,4.909504191616766,3.289061538720314,6.900463322672437e-59,0.9934064455358944,1.0,1.723086282632029e-57
PBXIP1,6.178628651685393,3.5721952095808382,2.606433442104555,2.565435134421614e-50,0.9934064455358944,0.9940119760479041,4.248961142480989e-49
S100A10,10.046499438202247,5.486264670658682,4.560234767543565,1.3452094457563248e-78,0.9933728049518938,0.9940119760479041,8.793010397228116e-77
FAM64A,1.2338292134831461,-5.5876125748503,6.821441788333446,7.141452883129857e-70,0.9933559846598937,0.9940119760479041,2.9649429578074425e-68
MRPL13,5.014693820224719,2.7226113772455087,2.29208244297921,2.773685368327223e-47,0.9933559846598937,1.0,4.010001543977716e-46
KIF2C,2.1328988764044943,-2.6475586826347306,4.780457559039225,1.559754404516777e-116,0.9933391643678934,1.0,1.9863472341521155e-113
VPS18,3.627331460674157,0.9744928143712575,2.6528386463028992,4.1785328210601794e-61,0.9933391643678934,0.9940119760479041,1.1606573313917797e-59
FTH1P8,3.2205662921348317,-0.21964131736526943,3.440207609500101,1.9259524715058706e-61,0.9933223440758931,1.0,5.42685049222152e-60
CDH3,5.170007303370786,-1.2802449101796407,6.450252213550427,5.2740615637920415e-120,0.9933223440758931,1.0,8.827422870528618e-117
HMGN2P17,-1.836958988764045,-9.766108982035925,7.9291499932718805,2.2752394177539403e-178,0.9933223440758931,1.0,6.664290016572179e-174
LGMN,6.789223595505618,3.6937203592814374,3.0955032362241806,3.0849010377032948e-61,0.9933055237838928,1.0,8.62609010452013e-60
HTR1D,0.6587601123595506,-7.146605988023952,7.805366100383502,5.493371934363995e-101,0.9932887034918926,0.9940119760479041,1.5471501023412365e-98
POLR3K,3.532398314606742,1.223868263473054,2.308530051133688,2.957004005431925e-54,0.9932887034918926,1.0,5.94251292083045e-53
GPX1,8.419834269662921,5.250259880239521,3.1695743894234,4.2199121647091575e-54,0.9932718831998923,1.0,8.414114177019305e-53
EXO1,0.7453112359550562,-4.870903592814372,5.6162148287694285,2.4218647817660267e-73,0.993255062907892,0.9880239520958084,1.1962500908991198e-71
COX4I1,9.250701123595507,7.384900598802396,1.8658005247931104,3.5424783741487065e-25,0.9932382426158918,1.0,9.84262595503725e-25
TMCO1,6.671320224719101,4.148524550898204,2.522795673820897,1.4733276674079024e-47,0.9932382426158918,1.0,2.15556963247808e-46
CAPNS1,9.460130898876404,6.760277844311376,2.699853054565028,1.2174328019725032e-41,0.9932382426158918,0.9940119760479041,1.3618184260521523e-40
PMVK,5.631216292134832,3.460649700598802,2.17056659153603,1.0313699829164476e-41,0.9932382426158917,0.9940119760479041,1.1583336842260049e-40
MALL,5.8672151685393255,0.367140119760479,5.500075048778847,1.791390156323971e-112,0.9932046020318912,0.9940119760479041,1.5208902427190515e-109
ATP6V1F,7.54791797752809,4.895435928143713,2.6524820493843766,3.108112170755994e-47,0.9932046020318912,1.0,4.48132707543827e-46
NDUFB6,5.470622471910112,3.279555688622754,2.1910667832873583,7.990311774791896e-43,0.9932046020318912,0.9940119760479041,9.416223176002496e-42
GAPLINC,1.078326404494382,-7.727477844311378,8.80580424880576,1.4562764814468966e-84,0.9931877817398911,1.0,1.3606081747949068e-82
AP000349.2,5.650721348314606,-6.578632934131736,12.229354282446343,4.495271693196061e-110,0.9931709614478907,1.0,3.062064082082773e-107
MTRNR2L12,-0.3400561797752809,-5.577546706586826,5.237490526811546,6.308020767517369e-59,0.9931541411558905,0.9940119760479041,1.5778401561995515e-57
DAD1,7.981402808988763,6.0225940119760475,1.9588087970127157,8.557489427499425e-30,0.9931373208638902,0.9940119760479041,5.637722538825279e-29
CTD-2231E14.8,5.136026404494382,2.7845257485029946,2.3515006559913876,4.234129124477321e-48,0.9931373208638901,1.0,6.351844257132035e-47
FAM101A,3.6568949438202236,-3.4418832335329346,7.098778177353158,9.868815010798735e-119,0.9931373208638901,0.9940119760479041,1.4453126303690018e-115
KIF11,1.6885219101123599,-2.545337125748503,4.233859035860863,1.35542033088417e-108,0.99312050057189,1.0,7.352025778104219e-106
