gene_A,gene_B,K_A,K_B,disc_sens,disc_spec,val_sens,val_spec,ext_sens,ext_spec,tumor_correlation,pair_score
GRN,CLDN12,0.8306098746530998,0.798690661316936,0.8876404494382022,0.9940119760479041,0.028985507246376812,1.0,0.022222222222222223,1.0,0.03498466900593711,0.4499438499951671
RCN1,GRN,0.8391026610009126,0.8306098746530998,0.9550561797752809,0.9940119760479041,0.0,0.9836065573770492,0.0,1.0,0.13977772765573532,0.4442286548652603
SPARC,TSPAN1,0.8355173953327697,0.69298776371519,0.7921348314606742,1.0,0.10144927536231885,1.0,0.15555555555555556,1.0,0.017557709146116356,0.4432805115822733
GRN,TXN,0.8306098746530998,0.8228848534305958,0.9775280898876404,0.9940119760479041,0.0,1.0,0.022222222222222223,1.0,0.220326982492276,0.4432352830413416
CST1,LMNB1,0.3606846833167901,0.7437815024738708,0.949438202247191,1.0,0.028985507246376812,0.9672131147540983,0.17777777777777778,0.9777777777777777,0.19084012509526388,0.4430239632564724
CST1,CLDN12,0.3606846833167901,0.798690661316936,0.8764044943820225,0.9820359281437125,0.10144927536231885,0.9836065573770492,0.2222222222222222,1.0,0.19536335592579823,0.44145505742386876
MISP,LMNB1,0.6499979430526112,0.7437815024738708,0.9606741573033708,1.0,0.0,1.0,0.044444444444444446,0.9777777777777777,0.19592925400554612,0.44115122785057614
MMP9,LMNB1,0.5242941773154414,0.7437815024738708,0.9550561797752809,1.0,0.014492753623188406,0.9836065573770492,0.1111111111111111,1.0,0.2053859731064239,0.4397237108754971
CST1,COLGALT1,0.3606846833167901,0.8541952185168267,0.9044943820224719,0.9880239520958084,0.10144927536231885,1.0,0.06666666666666667,1.0,0.3023903439361442,0.43948195254772715
MISP,FBXL2,0.6499979430526112,0.7510725925338305,0.8707865168539326,0.9940119760479041,0.028985507246376812,1.0,0.044444444444444446,1.0,-0.04962427773409093,0.43861419239540195
MMP12,GRN,0.37763499838454734,0.8306098746530998,0.9550561797752809,0.9940119760479041,0.08695652173913043,0.9672131147540983,0.08888888888888889,0.9777777777777777,0.3686818526954498,0.4371689932470204
CST1,TXN,0.3606846833167901,0.8228848534305958,0.9662921348314607,0.9880239520958084,0.028985507246376812,0.9836065573770492,0.24444444444444444,0.9777777777777777,0.29183527452919383,0.432212886223379
CEACAM5,SPARC,0.40677820318024827,0.8355173953327697,0.7808988764044944,1.0,0.10144927536231885,0.9672131147540983,0.17777777777777778,0.9555555555555556,-0.012516929506255948,0.43143832808242744
GRN,CTTN,0.8306098746530998,0.538647950435518,0.8539325842696629,0.9940119760479041,0.10144927536231885,0.9344262295081968,0.08888888888888889,0.9777777777777777,0.14672818198407592,0.43125308335557216
MMP9,CLDN12,0.5242941773154414,0.798690661316936,0.8764044943820225,0.9880239520958084,0.0,1.0,0.08888888888888889,1.0,-0.025206320092192033,0.43053701762053087
