gene,log2fc,fdr,auc,log2fc_val,fdr_val,auc_val,direction_consistent,protein_coding_status,stability_score
EFNB2,4.075987859113234,1.870995431917323e-95,0.989941465383839,0.9566288976003801,9.760776042219929e-11,0.8384414350201949,True,Protein Coding,0.9141914501127848
AGR2,6.326527390163492,8.146560962759643e-88,0.976317028863621,1.859313894036588,2.0181575607785498e-11,0.851983844143502,True,Protein Coding,0.9141504364851126
CARD11,5.2412184821368495,3.970485565479887e-110,0.9866446881517862,0.6847894511760519,9.688407975671237e-11,0.8415300546448088,True,Protein Coding,0.914087371309737
CD55,4.359248977326246,4.877984396650723e-85,0.9848280966157572,0.8803673984319325,1.4394584775703967e-10,0.843193157519601,True,Protein Coding,0.914010626936111
PLAC8,6.732672865504945,9.755137195673971e-123,0.9931205005718899,1.7647905725825588,7.769471772824334e-11,0.83464005702067,True,Protein Coding,0.9138802787252763
UBE2T,5.646122027854405,2.38298479163578e-87,0.9959463096279351,0.6953946566880504,9.239067277865018e-09,0.8315514373960561,True,Protein Coding,0.9137488650698083
ANXA2,3.898516773195184,6.602828422366605e-61,0.9787727914956603,0.7341835804229024,7.323207870064716e-11,0.8486576383939178,True,Protein Coding,0.9137152148778759
S100A10,4.560234767543565,8.793010397228116e-77,0.9933728049518938,0.7450815253029184,1.1238974414380407e-09,0.8332145402708483,True,Protein Coding,0.9132936715849227
RALA,2.930847648523179,9.131432207261196e-65,0.9911020655318576,0.5902268092183407,1.4875612583857085e-10,0.8353528153955808,True,Protein Coding,0.9132274403278711
FXYD3,4.841785712843975,2.0238718471231657e-81,0.9786382291596583,1.324048503207413,7.204661822326555e-12,0.8477072938940367,True,Protein Coding,0.9131727615202684
CCNB1,3.72830410078719,6.618211021342516e-89,0.9945165848079124,0.9178550748396308,6.081004176385053e-09,0.831551437396056,True,Protein Coding,0.9130340055498205
BROX,2.2698960573235554,1.6035626586706672e-48,0.9870651954517932,0.5496361986220011,1.8515054114680462e-09,0.8389166072701353,True,Protein Coding,0.9129908996705567
TBC1D2,3.7927535692659626,2.7832449469390285e-90,0.9904124335598465,0.6551602162033747,7.295246006378031e-10,0.8353528153955809,True,Protein Coding,0.9128826238117435
PRKCI,2.354031403485164,4.683714586947351e-50,0.9755601157236091,0.7256816868614866,1.3609636297033462e-10,0.8496079828937991,True,Protein Coding,0.9125840491845048
IGFL2,10.869508379869472,6.122801627275189e-106,0.9835161138397361,1.0753818531717751,4.46394134741996e-10,0.8415300546448088,True,Protein Coding,0.9125230838349275
SLC6A6,4.1028615555406045,2.7354414065491547e-89,0.9808416874116934,1.1973531789023513,4.4104315871853844e-11,0.844143502019482,True,Protein Coding,0.9124925946753429
ITGB1,3.259179660902914,3.6357138574353917e-57,0.9832301688757317,0.6156063316702305,1.9082323383239867e-09,0.8415300546448088,True,Protein Coding,0.912380110019237
CD82,3.254227363251024,4.0166091555838334e-66,0.9853327053757652,0.5629696056070319,4.835993058510513e-11,0.8393917795200762,True,Protein Coding,0.9123622424037989
CLIC1,3.49660830586019,8.471852740535464e-58,0.9935073672878961,0.6544586299200121,1.1238974414380407e-09,0.8310762651461154,True,Protein Coding,0.9122918151916833
TRIM29,6.327107273094262,3.613830677666428e-66,0.9478234542151651,1.2803527797576626,5.01776445243608e-13,0.8766928011404134,True,Protein Coding,0.9122581276773315
GAPDH,3.5851202650878014,1.1558470869202954e-52,0.9971741909439548,0.9156970206699935,8.261050765288836e-10,0.8270373010216204,True,Protein Coding,0.9121057452292924
SDR16C5,7.407328298459262,1.1744151173023625e-92,0.961128305187378,1.1970759444048458,2.231368181425322e-12,0.8626752197671655,True,Protein Coding,0.9119017624752371
LPCAT2,2.94841848213685,2.445670967831215e-67,0.9665949000874656,0.9375151556189101,7.204661822326555e-12,0.8569731527678783,True,Protein Coding,0.9117840264211029
PLEC,2.833289598331426,6.289523553684507e-54,0.9724483617035592,0.7823936635780475,9.470944252958744e-12,0.8510334996436207,True,Protein Coding,0.9117409306649549
COL11A1,7.314547698984054,3.1239134522887763e-76,0.9567886698513086,1.8544359539082924,9.487127890011188e-13,0.8662390116417202,True,Protein Coding,0.9115138407456497
FAM83D,5.538229805557425,1.9504504948409347e-102,0.9857532126757721,0.874063157519601,2.1908687178310217e-08,0.8372535043953433,True,Protein Coding,0.9115033385657156
ENO2,3.387081050259033,1.1482872480956284e-64,0.9735753212675772,0.9961736231884055,5.242635372746624e-11,0.8493703967688286,True,Protein Coding,0.9114728589704176
CENPF,6.030411333512749,2.177815896762495e-91,0.9779485971876472,1.116455219767166,1.0249155597724208e-09,0.8448562603943929,True,Protein Coding,0.9114024278569095
BCAS1,6.018169185225056,3.8162778616760005e-85,0.967688219067483,1.2100414849132815,5.801396017430916e-11,0.8550724637681159,True,Protein Coding,0.9113803413649267
HK1,3.3195967200430605,2.923074437472033e-68,0.9854672677117674,0.5666542931812772,2.3367585895099983e-09,0.8372535043953434,True,Protein Coding,0.9113603839239263
CENPI,4.5403305927470905,9.736177636058421e-81,0.9775112695956403,0.8494076764076977,1.6057775679795542e-09,0.8439059158945118,True,Protein Coding,0.9107085912826806
MISP,7.767093157505214,2.3654712691266488e-144,0.9963668169279419,0.6659791732002853,1.8792124697133752e-08,0.8246614397719174,True,Protein Coding,0.9105141112394345
EDNRA,4.7408723339837175,1.2416862344647456e-102,0.978688690035659,1.3237653670705622,2.613706220406588e-10,0.8422428130197196,True,Protein Coding,0.9104657512897203
RAC1,2.8480845959765855,9.429064320980688e-49,0.9904797147278476,0.5408001916528091,5.361587296773624e-10,0.8303635067712045,True,Protein Coding,0.9104216102613955
DLGAP5,6.957360199825069,2.2556056765268226e-86,0.9902610509318442,0.9583607911617964,1.6200373073602438e-08,0.8301259206462344,True,Protein Coding,0.9101934710435652
SFN,7.427492276121915,1.6468802275399703e-96,0.960556415259369,0.8614750059396536,1.735679261092628e-11,0.8593490140175815,True,Protein Coding,0.9099527146226813
SLPI,5.292909281437124,4.379112337644855e-80,0.9707158716275314,1.727638023283439,2.9308683166606314e-11,0.8491328106438584,True,Protein Coding,0.9099243411090262
LRRC8A,2.877465249276727,1.4200589249911893e-58,0.9832638094597321,0.5792070301734382,2.1993419040652113e-10,0.8365407460204324,True,Protein Coding,0.9099022775399637
UNC5B,3.425378914081948,1.36807496565957e-79,0.9846430734037542,0.526084920408648,2.9752312889257164e-10,0.8351152292706105,True,Protein Coding,0.9098791510664723
SAMD9,4.1045065800982306,1.0744183544021644e-97,0.9855850097557693,0.9093211522927076,2.1966843710648463e-09,0.8339272986457591,True,Protein Coding,0.909756152202317
DDX60,3.5993737098836034,8.892776412576047e-78,0.9789241741236628,1.1346662841530035,1.567592536023303e-10,0.8405797101449276,True,Protein Coding,0.9097519419916832
PDLIM7,3.7778576364125676,5.602363440936519e-71,0.9798156495996772,0.7974872701354245,1.1960653055069341e-10,0.8396293656450463,True,Protein Coding,0.909722507513553
ANOS1,5.108434747359214,3.505258701830479e-110,0.9908834017358542,0.6632415371822291,4.518307130236371e-10,0.828462817771442,True,Protein Coding,0.9096731093426299
B3GNT3,5.352081605328668,2.140425906936262e-98,0.9840711834757452,0.7000509360893323,1.2575198741213227e-10,0.8351152292706105,True,Protein Coding,0.9095932062587947
GJB2,6.0584751631568325,4.516959263606199e-86,0.9525331359752406,0.8351379258731284,1.127353345260549e-12,0.8664765977666905,True,Protein Coding,0.9095048668699403
RACGAP1,3.5374859516921213,1.995814492106021e-88,0.9888986072798224,0.6296153623188401,4.145965832449244e-09,0.8296507483962936,True,Protein Coding,0.9092746740682364
PRR5L,4.326172677117675,7.332382331582668e-89,0.984188925519747,0.5995189569969108,1.498924248576478e-09,0.8339272986457591,True,Protein Coding,0.9090581107201438
MELK,5.193666699185899,8.648186357322363e-99,0.9826582789477225,0.9718516607270118,1.8545943967671743e-09,0.8348776431456403,True,Protein Coding,0.9087679593612855
ACSL5,4.702043214694207,1.8540632490394583e-95,0.9755264751396084,1.4213504656688052,1.6073033948328753e-09,0.8420052268947493,True,Protein Coding,0.9087658495565164
FLNB,2.2288007905537244,4.955207885403701e-33,0.9512043329072193,0.9558756806842466,3.861205367816021e-12,0.8662390116417202,True,Protein Coding,0.908721672270961
TOP2A,6.163403185763304,7.663298766402091e-98,0.994180178967907,1.1647560893323847,3.833807697440375e-09,0.8232359230220955,True,Protein Coding,0.9087080475111893
SCEL,5.868026461683375,9.065680781802074e-68,0.9481598600551705,1.5458680185317162,6.827596305412346e-12,0.8690900451413637,True,Protein Coding,0.9086249525920632
ITGB5,3.8341612157707052,1.4512774813786713e-73,0.9937428513758999,0.8385426799714901,7.295246006378031e-10,0.8232359230220955,True,Protein Coding,0.9084893865362323
TMSB10,4.12497482675099,3.0510111525572e-60,0.9942138195519074,0.9130854240912303,1.0241797825499892e-08,0.8227607507721549,True,Protein Coding,0.908487275857488
TSPAN5,3.9371332200767006,1.2194339317987897e-94,0.9880071318038081,0.8227689712520796,5.297272532789955e-10,0.8289379900213827,True,Protein Coding,0.9084725604313527
MKI67,6.484627753481801,1.2414186700936533e-105,0.9892686537038283,1.004882002851034,7.701944062215939e-09,0.8275124732715609,True,Protein Coding,0.9083905564913212
