gene,cell_type,mean_expression,percent_expressing_fraction,n_cells,is_target_compartment,is_off_target_compartment,source_h5ad,annotation_version
GPSM2,B cells,0.927151620388031,0.19047619047619047,21,0,1,GSE154778,v4_unbiased_metadata
SLC5A3,B cells,0.0,0.0,21,0,1,GSE154778,v4_unbiased_metadata
PDGFC,B cells,1.384214162826538,0.2857142857142857,21,0,1,GSE154778,v4_unbiased_metadata
TYMS,B cells,0.9408002495765686,0.19047619047619047,21,0,1,GSE154778,v4_unbiased_metadata
MVP,B cells,4.5941996574401855,0.9523809523809523,21,0,1,GSE154778,v4_unbiased_metadata
LGALS3BP,B cells,3.2679636478424072,0.6666666666666666,21,0,1,GSE154778,v4_unbiased_metadata
KIAA1551,B cells,2.528352975845337,0.5238095238095238,21,0,1,GSE154778,v4_unbiased_metadata
MMP11,B cells,0.4483279287815094,0.09523809523809523,21,0,1,GSE154778,v4_unbiased_metadata
SEMA3C,B cells,1.6133259534835815,0.3333333333333333,21,0,1,GSE154778,v4_unbiased_metadata
CRIP1,B cells,4.367774963378906,0.9047619047619048,21,0,1,GSE154778,v4_unbiased_metadata
PTK7,B cells,0.2366105020046234,0.047619047619047616,21,0,1,GSE154778,v4_unbiased_metadata
FXYD5,B cells,3.2501208782196045,0.6666666666666666,21,0,1,GSE154778,v4_unbiased_metadata
MIR31HG,B cells,0.0,0.0,21,0,1,GSE154778,v4_unbiased_metadata
MUC4,B cells,0.8729695081710815,0.19047619047619047,21,0,1,GSE154778,v4_unbiased_metadata
TIMP2,B cells,3.1837401390075684,0.6666666666666666,21,0,1,GSE154778,v4_unbiased_metadata
RHPN2,B cells,2.9799606800079346,0.6190476190476191,21,0,1,GSE154778,v4_unbiased_metadata
CNN2,B cells,3.7192463874816895,0.7619047619047619,21,0,1,GSE154778,v4_unbiased_metadata
MUC16,B cells,0.44598525762557983,0.09523809523809523,21,0,1,GSE154778,v4_unbiased_metadata
ESM1,B cells,0.0,0.0,21,0,1,GSE154778,v4_unbiased_metadata
TMEM45B,B cells,2.0645601749420166,0.42857142857142855,21,0,1,GSE154778,v4_unbiased_metadata
NMI,B cells,2.252615451812744,0.47619047619047616,21,0,1,GSE154778,v4_unbiased_metadata
SLC2A1,B cells,3.211786985397339,0.6666666666666666,21,0,1,GSE154778,v4_unbiased_metadata
MFAP2,B cells,0.2455085963010788,0.047619047619047616,21,0,1,GSE154778,v4_unbiased_metadata
RASA2,B cells,1.3794511556625366,0.2857142857142857,21,0,1,GSE154778,v4_unbiased_metadata
NQO1,B cells,3.663001298904419,0.7619047619047619,21,0,1,GSE154778,v4_unbiased_metadata
LGALS1,B cells,2.6116161346435547,0.5238095238095238,21,0,1,GSE154778,v4_unbiased_metadata
L3MBTL3,B cells,0.4573700428009033,0.09523809523809523,21,0,1,GSE154778,v4_unbiased_metadata
CDH2,B cells,0.0,0.0,21,0,1,GSE154778,v4_unbiased_metadata
UBE2T,B cells,0.8572325110435486,0.19047619047619047,21,0,1,GSE154778,v4_unbiased_metadata
IL1R2,B cells,1.9957685470581055,0.42857142857142855,21,0,1,GSE154778,v4_unbiased_metadata
SERPINH1,B cells,3.018770933151245,0.6190476190476191,21,0,1,GSE154778,v4_unbiased_metadata
PIAS3,B cells,1.3670072555541992,0.2857142857142857,21,0,1,GSE154778,v4_unbiased_metadata
IQGAP1,B cells,4.405933380126953,0.9047619047619048,21,0,1,GSE154778,v4_unbiased_metadata
ABHD17C,B cells,2.737306833267212,0.5714285714285714,21,0,1,GSE154778,v4_unbiased_metadata
POSTN,B cells,0.22526498138904572,0.047619047619047616,21,0,1,GSE154778,v4_unbiased_metadata
SLFN13,B cells,1.3596464395523071,0.2857142857142857,21,0,1,GSE154778,v4_unbiased_metadata
IFI27,B cells,2.095327138900757,0.42857142857142855,21,0,1,GSE154778,v4_unbiased_metadata
DYNLT1,B cells,3.6513097286224365,0.7619047619047619,21,0,1,GSE154778,v4_unbiased_metadata
