gene_A,gene_B,gene_A_auc,gene_B_auc,gene_A_log2fc,gene_B_log2fc,correlation,abs_correlation,tumor_AND_activation,normal_AND_activation,AND_sensitivity,AND_specificity,pair_score
SERTAD3,CTSB,0.9945502253919128,0.9947520688959162,3.3380839063446146,3.5799245004373272,0.8611929930811224,0.8611929930811224,0.9269662921348315,0.005988023952095809,0.9269662921348315,0.9940119760479041,0.12721482836212666
GTF3A,ATP5L,0.9957276458319316,0.997611518535962,1.6110134562336,2.3200297147278457,0.8639410754702166,0.8639410754702166,0.949438202247191,0.011976047904191617,0.949438202247191,0.9880239520958084,0.12720741085109322
UBE2T,NUDT1,0.9959463096279352,0.9945838659759132,5.646122027854405,3.1617194577137866,0.8645921245651763,0.8645921245651763,0.9438202247191011,0.0,0.9438202247191011,1.0,0.12719556636889653
TEX264,DNASE2,0.9965686604319453,0.9956603646639306,1.974107619592277,2.26181778914082,0.8647971379911361,0.8647971379911361,0.9438202247191011,0.0,0.9438202247191011,1.0,0.12711137944655987
PIGU,NDUFC2,0.9947352486039158,0.9971741909439548,2.392829610442038,2.232745428244634,0.8655955641402978,0.8655955641402978,0.9550561797752809,0.005988023952095809,0.9550561797752809,0.9940119760479041,0.12707898352218006
UQCR10,DHRS7B,0.9952903182399246,0.9949875529839196,2.180370561124943,1.7343585581645686,0.864758373758335,0.864758373758335,0.949438202247191,0.005988023952095809,0.949438202247191,0.9940119760479041,0.12701424244469312
TP53TG1,CCDC96,0.9946006862679136,0.9951725761959228,2.8377416134024083,2.658767960707798,0.8639359758294628,0.8639359758294628,0.9438202247191011,0.005988023952095809,0.9438202247191011,0.9940119760479041,0.1269982693494314
DNASE2,GRN,0.9956603646639306,0.9967368633519478,2.26181778914082,3.5322372199421377,0.8665973053111062,0.8665973053111062,0.9550561797752809,0.0,0.9550561797752809,1.0,0.1269227445178654
NAGA,CORO2A,0.9948361703559174,0.9971405503599542,2.921225973894907,6.426852216914485,0.8625580595555187,0.8625580595555187,0.9325842696629213,0.005988023952095809,0.9325842696629213,0.9940119760479041,0.1268975518752914
SHFM1,S100A6,0.996064051671937,0.9968377851039494,2.8740591939716085,6.411394479580163,0.8642594389684823,0.8642594389684823,0.9438202247191011,0.005988023952095809,0.9438202247191011,0.9940119760479041,0.1268955662152711
HPSE,PKM,0.9949875529839196,0.9953239588239252,4.325412251900693,4.02694682432887,0.8624465537938221,0.8624465537938221,0.9325842696629213,0.005988023952095809,0.9325842696629213,0.9940119760479041,0.12689433595380986
GBA,NDUFC2,0.9949202718159188,0.9971741909439548,2.296132345421516,2.232745428244634,0.8650720871062706,0.8650720871062706,0.949438202247191,0.005988023952095809,0.949438202247191,0.9940119760479041,0.12683527487932472
EPHX4,CKLF,0.9968377851039494,0.9949875529839196,7.818003390970866,3.8934817230707113,0.8650828525563874,0.8650828525563874,0.949438202247191,0.005988023952095809,0.949438202247191,0.9940119760479041,0.12680802149957288
DNASE2,CCDC51,0.9956603646639306,0.994634326851914,2.26181778914082,2.608153639911189,0.8641872350322073,0.8641872350322073,0.9438202247191011,0.005988023952095809,0.9438202247191011,0.9940119760479041,0.12679697020682595
SMYD3,COMMD1,0.9947857094799164,0.9963331763439413,3.0911119121307946,1.9911958453878764,0.8626504385187385,0.8626504385187385,0.9382022471910112,0.011976047904191617,0.9382022471910112,0.9880239520958084,0.12675304904808765
NDUFA1,S100A6,0.995879028459934,0.9968377851039494,2.1289500067281164,6.411394479580163,0.8644170053089657,0.8644170053089657,0.9438202247191011,0.005988023952095809,0.9438202247191011,0.9940119760479041,0.1267364996104993
PIGU,NDUFA1,0.9947352486039158,0.995879028459934,2.392829610442038,2.1289500067281164,0.8658861605719905,0.8658861605719905,0.9550561797752809,0.005988023952095809,0.9550561797752809,0.9940119760479041,0.12672177591429448
COX7A2,CFL1,0.9967705039359482,0.9953575994079256,2.320042726905739,3.58724077238781,0.8652296396412851,0.8652296396412851,0.949438202247191,0.005988023952095809,0.949438202247191,0.9940119760479041,0.1266893113221162
BLOC1S1,SPA17,0.995122115319922,0.9945502253919128,2.293008490883402,2.7632888784229293,0.8634574899114925,0.8634574899114925,0.9382022471910112,0.005988023952095809,0.9382022471910112,0.9940119760479041,0.12667984842315175
TEX264,POC1A,0.9965686604319453,0.9949539123999191,1.974107619592277,3.774388256072125,0.8652188389803948,0.8652188389803948,0.9438202247191011,0.0,0.9438202247191011,1.0,0.1266699823780591
UQCR10,CCDC51,0.9952903182399246,0.994634326851914,2.180370561124943,2.608153639911189,0.8659009746214156,0.8659009746214156,0.9550561797752809,0.005988023952095809,0.9550561797752809,0.9940119760479041,0.12666388151363037
TCEB2,POC1A,0.9960304110879364,0.9949539123999191,2.6273445132207485,3.774388256072125,0.8660527837633514,0.8660527837633514,0.949438202247191,0.0,0.949438202247191,1.0,0.12660132163381715
TP53TG1,PSMB6,0.9946006862679136,0.9951052950279218,2.8377416134024083,1.9886599845253323,0.8651515807940365,0.8651515807940365,0.9550561797752809,0.011976047904191617,0.9550561797752809,0.9880239520958084,0.1265905135346186
MRPL14,BLOC1S1,0.9965350198479448,0.995122115319922,2.674413590795937,2.293008490883402,0.8669242014000832,0.8669242014000832,0.9550561797752809,0.0,0.9550561797752809,1.0,0.12656469619647942
NAGA,PIGU,0.9948361703559174,0.9947352486039158,2.921225973894907,2.392829610442038,0.8652275648617263,0.8652275648617263,0.949438202247191,0.005988023952095809,0.949438202247191,0.9940119760479041,0.12652866694481535
NUDT1,S100A6,0.9945838659759132,0.9968377851039494,3.1617194577137866,6.411394479580163,0.864574144750177,0.864574144750177,0.9438202247191011,0.005988023952095809,0.9438202247191011,0.9940119760479041,0.12650733649843504
LINC01420,ATP5E,0.994869810939918,0.9953575994079256,2.968724063109736,2.903379583529571,0.8645025293544911,0.8645025293544911,0.949438202247191,0.011976047904191617,0.949438202247191,0.9880239520958084,0.12648472218611675
PSMB6,COMMD1,0.9951052950279218,0.9963331763439413,1.9886599845253323,1.9911958453878764,0.8638272945515983,0.8638272945515983,0.9438202247191011,0.011976047904191617,0.9438202247191011,0.9880239520958084,0.1264397753588441
UBE2S,S100A6,0.9958958487519344,0.9968377851039494,3.778860169548543,6.411394479580163,0.8639641593829843,0.8639641593829843,0.9325842696629213,0.0,0.9325842696629213,1.0,0.12640396171692692
