gene_A,gene_B,K_final_A,K_final_B,discovery_sensitivity,discovery_specificity,GSE62452_sensitivity,GSE62452_specificity,tumor_spearman_r,threshold_instability_A,threshold_instability_B,mean_threshold_instability,performance_score,redundancy_penalty,threshold_instability_penalty,pair_score,redundancy_category,target_coexpr_est,max_off_target_coexpr_est,scrna_score
TIMP1,NMI,0.8127320901664025,0.6839829858555485,0.9831460674157304,0.9700598802395208,0.4347826086956521,0.8032786885245902,0.0608833868126069,0.0,0.2064948208498035,0.1032474104249017,0.7978168112188735,0.0121766773625213,0.0103247410424901,-12.407499896032428,weak correlation / high independence,0.345442083618917,0.596401028277635,-2.636563057769258
ANKLE2,TFF1,0.8693496009171224,0.5716120235084965,0.8258426966292135,0.9760479041916168,1.0,0.0163934426229508,-0.0753324460304258,0.004269873992884,0.0,0.002134936996442,0.7045710108609452,0.0150664892060851,0.0002134936996442,-12.414668170528838,weak correlation / high independence,0.4674434544208362,0.6176470588235294,-2.620791839696811
LGALS3BP,NMI,0.8154662208610381,0.6839829858555485,0.9831460674157304,0.9880239520958084,0.6376811594202898,0.819672131147541,0.4067596631020913,0.0022947028381113,0.2064948208498035,0.1043947618439574,0.8571308275198424,0.0813519326204182,0.0104394761843957,-12.417475870131263,moderate correlation,0.345442083618917,0.596401028277635,-2.636563057769258
TXN,PLEKHA2,0.8669527154073219,0.2434402352438865,0.9157303370786516,0.994011976047904,0.5217391304347826,0.9016393442622952,-0.0714133346112569,0.0155998697859093,0.0,0.0077999348929546,0.8332801969559084,0.0142826669222513,0.0007799934892954,-12.422967445559056,weak correlation / high independence,0.1295407813570939,0.5555555555555556,-2.6482369964206836
TFF1,SPRY4,0.5716120235084965,0.8034291432449421,0.8707865168539326,0.9880239520958084,1.0,0.0163934426229508,0.2368366037134642,0.0,0.0,0.0,0.7188009778931729,0.0473673207426928,0.0,-12.424684808994321,low-to-moderate correlation / partial independence,0.1439342015078821,0.5526315789473685,-2.6192236932289603
ANKLE2,PYGB,0.8693496009171224,0.7834014339198262,0.8820224719101124,1.0,1.0,0.0163934426229508,0.2236865203362804,0.004269873992884,0.0173085929204778,0.0107892334566809,0.7246039786332658,0.044737304067256,0.001078923345668,-12.425171447263711,low-to-moderate correlation / partial independence,0.4674434544208362,0.6176470588235294,-2.620791839696811
ANKLE2,MVP,0.8693496009171224,0.9054691135269066,0.8595505617977528,0.9700598802395208,0.1159420289855072,0.9672131147540984,0.246474460250776,0.004269873992884,0.0,0.002134936996442,0.7281913964442198,0.0492948920501552,0.0002134936996442,-12.425276187789633,low-to-moderate correlation / partial independence,0.4674434544208362,0.6176470588235294,-2.620791839696811
COLGALT1,CNN2,0.8830279192813023,0.661063053575096,0.8426966292134831,0.9880239520958084,0.9710144927536232,0.1967213114754098,0.7242104053660425,0.0433973132146173,0.2853123411919471,0.1643548272032822,0.7496140963845812,0.1448420810732085,0.0164354827203282,-12.425958973136945,high redundancy risk,0.2542837559972584,0.5714285714285714,-2.602859101145598
KPNA2,CALD1,0.7721946935689896,0.7646968638034911,0.904494382022472,0.9880239520958084,1.0,0.0983606557377049,0.2596245557501684,0.0131318192131503,0.0,0.0065659096065751,0.7477197474639964,0.0519249111500337,0.0006565909606575,-12.429528573624685,low-to-moderate correlation / partial independence,0.1528444139821795,0.5555555555555556,-2.624933363795598
ANKLE2,ELK3,0.8693496009171224,0.7756993216924829,0.898876404494382,0.9820359281437124,1.0,0.0,0.4251992044059366,0.004269873992884,0.0028055905572017,0.0035377322750428,0.7202280831595236,0.0850398408811873,0.0003537732275042,-12.431024499622312,moderate correlation,0.1809458533241946,0.5588235294117647,-2.6131717937346286
NMI,C15orf48,0.6839829858555485,0.7432743273673114,0.9213483146067416,0.9580838323353292,0.7971014492753623,0.6721311475409836,0.3627394864287477,0.2064948208498035,0.0742675834273869,0.1403812021385952,0.8371661859396042,0.0725478972857495,0.0140381202138595,-12.432235120406295,low-to-moderate correlation / partial independence,0.345442083618917,0.596401028277635,-2.636563057769258
KRT7,PLEKHA2,0.7749186196690546,0.2434402352438865,0.8820224719101124,0.9820359281437124,0.7101449275362319,0.7868852459016393,0.1655412198692554,0.0,0.0,0.0,0.8402721433729241,0.033108243973851,0.0,-12.434021082704344,weak correlation / high independence,0.1295407813570939,0.5555555555555556,-2.6482369964206836
ANKLE2,CD82,0.8693496009171224,0.7926843797763463,0.898876404494382,1.0,1.0,0.0,0.2715095276067183,0.004269873992884,0.0125765115986006,0.0084231927957423,0.7247191011235955,0.0543019055213436,0.0008423192795742,-12.434384322161376,low-to-moderate correlation / partial independence,0.4674434544208362,0.6176470588235294,-2.620791839696811
IFI44,ELK3,0.4630264832589919,0.7756993216924829,0.146067415730337,1.0,0.3768115942028985,0.9508196721311476,0.2698545096689354,0.2940521683555983,0.0028055905572017,0.1484288794564,0.6184246705160958,0.053970901933787,0.01484288794564,-12.434548741631245,low-to-moderate correlation / partial independence,0.1809458533241946,0.5555555555555556,-2.596831924453583
PLAC8,CD82,0.6220726772459807,0.7926843797763463,0.949438202247191,1.0,1.0,0.0,0.4670628676482323,0.0234246257285141,0.0125765115986006,0.0180005686635574,0.7373595505617978,0.0934125735296464,0.0018000568663557,-12.439738335650032,moderate correlation,0.6189170664838931,0.6470588235294118,-2.6163770511631657
FXYD5,NMI,0.8088945966397295,0.6839829858555485,0.9101123595505618,0.9880239520958084,0.4927536231884058,0.8852459016393442,0.3216363381024929,0.0521955610995021,0.2064948208498035,0.1293451909746528,0.81903395911853,0.0643272676204985,0.0129345190974652,-12.441043116445725,low-to-moderate correlation / partial independence,0.345442083618917,0.596401028277635,-2.636563057769258
ANKLE2,PXDN,0.8693496009171224,0.7169660210736698,0.8707865168539326,0.9640718562874252,1.0,0.0,0.2529727090072922,0.004269873992884,1.1102230246251563e-16,0.002134936996442,0.7087145932853395,0.0505945418014584,0.0002134936996442,-12.445156102292959,low-to-moderate correlation / partial independence,0.0109664153529814,0.5263157894736842,-2.620612532015439
MXRA5,ELK3,0.7124256356787472,0.7756993216924829,0.9325842696629212,1.0,1.0,0.0,0.5811265130164364,0.0,0.0028055905572017,0.0014027952786008,0.7331460674157303,0.1162253026032872,0.00014027952786,-12.449078483388561,moderate correlation,0.1809458533241946,0.5588235294117647,-2.6131717937346286
ANKLE2,PSMB8,0.8693496009171224,0.5599685464333456,0.904494382022472,0.8862275449101796,1.0,0.0,0.1230744515266243,0.004269873992884,0.394618317595433,0.1994440957941585,0.6976804817331629,0.0246148903053248,0.0199444095794158,-12.45083801663563,weak correlation / high independence,0.4674434544208362,0.6176470588235294,-2.620791839696811
ANKLE2,S100A6,0.8693496009171224,0.5674889368539988,0.904494382022472,0.8862275449101796,1.0,0.0,0.1229286301338636,0.004269873992884,0.4038657702968961,0.20406782214489,0.6976804817331629,0.0245857260267727,0.020406782214489,-12.451271224992153,weak correlation / high independence,0.4674434544208362,0.6176470588235294,-2.620791839696811
DNTTIP1,ANKLE2,0.767087675236294,0.8693496009171224,0.904494382022472,0.9820359281437124,1.0,0.0,0.3421969696567183,0.0135907242542012,0.004269873992884,0.0089302991235426,0.7216325775415461,0.0684393939313436,0.0008930299123542,-12.451659044786206,low-to-moderate correlation / partial independence,0.4674434544208362,0.6176470588235294,-2.620791839696811
NMI,CALD1,0.6839829858555485,0.7646968638034911,0.9213483146067416,0.9580838323353292,1.0,0.0983606557377049,0.3090885684860968,0.2064948208498035,0.0,0.1032474104249017,0.744448200669944,0.0618177136972193,0.0103247410424901,-12.452361073047756,low-to-moderate correlation / partial independence,0.1528444139821795,0.5555555555555556,-2.624933363795598
TXN,NMI,0.8669527154073219,0.6839829858555485,0.9325842696629212,0.9820359281437124,0.5217391304347826,0.9016393442622952,0.4789079589074907,0.0155998697859093,0.2064948208498035,0.1110473453178564,0.8344996681259279,0.0957815917814981,0.0111047345317856,-12.455201947033647,moderate correlation,0.345442083618917,0.596401028277635,-2.636563057769258
IFI27,PLEKHA2,0.7476312946123221,0.2434402352438865,0.9157303370786516,0.9880239520958084,0.3478260869565217,0.9836065573770492,0.1155541464590322,0.0647198535617027,0.0,0.0323599267808513,0.8087967333770079,0.0231108292918064,0.0032359926780851,-12.458735070696301,weak correlation / high independence,0.1295407813570939,0.5555555555555556,-2.6482369964206836
ANKLE2,IQGAP1,0.8693496009171224,0.8605077057590838,0.8707865168539326,0.9880239520958084,1.0,0.0,0.3619389388426096,0.004269873992884,0.0,0.002134936996442,0.7147026172374352,0.0723877877685219,0.0002134936996442,-12.461857862714785,low-to-moderate correlation / partial independence,0.4674434544208362,0.6176470588235294,-2.620791839696811
IFI44,COL3A1,0.4630264832589919,0.7129259545708932,0.146067415730337,1.0,0.3768115942028985,0.9508196721311476,0.2704489502378855,0.2940521683555983,0.0,0.1470260841777991,0.6184246705160958,0.0540897900475771,0.0147026084177799,-12.467665083744508,low-to-moderate correlation / partial independence,0.159698423577793,0.5526315789473685,-2.6034594711590495
ANKLE2,CALM2,0.8693496009171224,0.7074816803992271,0.904494382022472,0.8862275449101796,1.0,0.0,0.246377644221446,0.004269873992884,0.2446511034486796,0.1244604887207818,0.6976804817331629,0.0492755288442892,0.0124460488720781,-12.468000294467258,low-to-moderate correlation / partial independence,0.4674434544208362,0.6176470588235294,-2.620791839696811
PKM,PYGB,0.8047205189285296,0.7834014339198262,0.949438202247191,1.0,0.7101449275362319,0.9016393442622952,0.5245973496920986,0.0051554504376445,0.0173085929204778,0.0112320216790612,0.8903056185114294,0.1049194699384197,0.0011232021679061,-12.468972549301062,moderate correlation,0.5846470185058259,0.6470588235294118,-2.650647099141233
RAB25,PLEKHA2,0.8246156647693069,0.2434402352438865,0.9213483146067416,0.994011976047904,0.7681159420289855,0.5573770491803278,-0.2070851586203462,0.0,0.0,0.0,0.8102133204659898,0.0414170317240692,0.0,-12.472388693361497,low-to-moderate correlation / partial independence,0.1295407813570939,0.5555555555555556,-2.6482369964206836
GBP2,IFI44L,0.8023317329518127,0.6534188075425736,0.8764044943820225,0.9820359281437124,0.9710144927536232,0.2295081967213114,0.4099554592847026,0.0110188366414978,0.0,0.0055094183207489,0.7647407780001674,0.0819910918569405,0.0005509418320748,-12.4733111178471,moderate correlation,0.1466758053461274,0.5555555555555556,-2.6311019724316504
ELK3,CORO1C,0.7756993216924829,0.8121665416850344,0.949438202247191,0.9820359281437124,1.0,0.0,0.7054760635666387,0.0028055905572017,1.1102230246251563e-16,0.0014027952786009,0.7328685325977259,0.1410952127133277,0.00014027952786,-12.474225928316606,high redundancy risk,0.1809458533241946,0.5588235294117647,-2.6131717937346286
ANKLE2,ESM1,0.8693496009171224,0.5843990790228814,0.8876404494382022,0.9760479041916168,1.0,0.0,0.3249305128902834,0.004269873992884,0.0043012943050491,0.0042855841489666,0.7159220884074547,0.0649861025780566,0.0004285584148966,-12.476544266247343,low-to-moderate correlation / partial independence,0.006168608636052,0.5263157894736842,-2.625410338732369
IFI44L,KPNA2,0.6534188075425736,0.7721946935689896,0.8595505617977528,0.994011976047904,1.0,0.0,0.1761013783554141,0.0,0.0131318192131503,0.0065659096065751,0.7133906344614143,0.0352202756710828,0.0006565909606575,-12.477996094328578,weak correlation / high independence,0.1466758053461274,0.5555555555555556,-2.6311019724316504
ANKLE2,CRIP1,0.8693496009171224,0.4625557558578066,0.904494382022472,0.8862275449101796,1.0,0.0,0.2767768135186533,0.004269873992884,0.328010239995664,0.166140056994274,0.6976804817331629,0.0553553627037306,0.0166140056994274,-12.47824808515405,low-to-moderate correlation / partial independence,0.4674434544208362,0.6176470588235294,-2.620791839696811
GRN,NMI,0.8150381531247665,0.6839829858555485,0.9831460674157304,0.9760479041916168,0.9710144927536232,0.081967213114754,0.2031389638355278,0.0227026820801638,0.2064948208498035,0.1145987514649837,0.753043919368931,0.0406277927671055,0.0114598751464983,-12.481859037390963,low-to-moderate correlation / partial independence,0.345442083618917,0.596401028277635,-2.636563057769258
