gene_A,gene_B,K_final_A,K_final_B,discovery_sensitivity,discovery_specificity,GSE62452_sensitivity,GSE62452_specificity,tumor_spearman_r,threshold_instability_A,threshold_instability_B,mean_threshold_instability,performance_score,redundancy_penalty,threshold_instability_penalty,pair_score,redundancy_category,target_coexpr_est,max_off_target_coexpr_est,max_off_target_compartment,scrna_score
CAPN9,MUC16,0.6169507151469692,0.4733043726065361,0.5842696629213483,1.0,1.0,0.0,0.0280700130604598,0.2016655848611086,0.0,0.1008327924305543,0.6460674157303371,0.0056140026120919,0.0100832792430554,-1.5347315875645604,weak correlation / high independence,0.1225352112676056,0.1111111111111111,CD8 T cells,-0.43302034428795
MUC16,TEP1,0.4733043726065361,0.8518818708710447,0.7752808988764045,1.0,1.0,0.0,0.1390880708453369,0.0,0.0,0.0,0.6938202247191011,0.0278176141690673,0.0,-1.5540286883545047,weak correlation / high independence,0.1115492957746479,0.1111111111111111,CD8 T cells,-0.4440062597809077
CEP55,TEP1,0.6504842260639693,0.8518818708710447,0.8876404494382022,1.0,1.0,0.0,0.3192028904564098,0.0092228620594016,0.0,0.0046114310297008,0.7219101123595506,0.0638405780912819,0.00046114310297,-1.5624229077392398,low-to-moderate correlation / partial independence,0.1115492957746479,0.1111111111111111,CD8 T cells,-0.4440062597809077
CEP55,SULT1B1,0.6504842260639693,0.5055144300630535,0.898876404494382,1.0,1.0,0.0,0.1897669306835721,0.0092228620594016,0.0,0.0046114310297008,0.7247191011235955,0.0379533861367144,0.00046114310297,-1.5886563044854165,weak correlation / high independence,0.1005633802816901,0.1111111111111111,CD8 T cells,-0.4549921752738655
MUC16,SULT1B1,0.4733043726065361,0.5055144300630535,0.7696629213483146,1.0,1.0,0.0,-0.0648498370843626,0.0,0.0,0.0,0.6924157303370786,0.0129699674168725,0.0,-1.5955151134491214,weak correlation / high independence,0.1005633802816901,0.1111111111111111,CD8 T cells,-0.4549921752738655
CST1,CEP55,0.5436593060985359,0.6504842260639693,0.9101123595505618,1.0,1.0,0.0,0.2356980305854906,0.2613835538362081,0.0092228620594016,0.1353032079478048,0.7275280898876404,0.0471396061170981,0.0135303207947804,-1.6010604598724392,low-to-moderate correlation / partial independence,0.1019718309859154,0.1111111111111111,CD8 T cells,-0.4535837245696402
CDC6,CEP55,0.7281441076120333,0.6504842260639693,0.8764044943820225,0.994011976047904,1.0,0.0,0.7860594570847178,0.0,0.0092228620594016,0.0046114310297008,0.7176041176074817,0.1572118914169435,0.00046114310297,-1.6037621876479564,high redundancy risk,0.1228169014084507,0.1111111111111111,CD8 T cells,-0.4327386541471049
NMU,PLEKHA2,0.4614366450229987,0.2434402352438865,0.9382022471910112,1.0,1.0,0.0,0.0255612451711843,0.0098458434802982,0.0,0.0049229217401491,0.7345505617977528,0.0051122490342368,0.0004922921740149,-1.6146204630581458,weak correlation / high independence,0.1245070422535211,0.1186440677966101,mast cells,-0.4687132967295294
CST1,MUC16,0.5436593060985359,0.4733043726065361,0.7865168539325843,1.0,1.0,0.0,0.3521534738191622,0.2613835538362081,0.0,0.130691776918104,0.6966292134831461,0.0704306947638324,0.0130691776918104,-1.6547892818206975,low-to-moderate correlation / partial independence,0.1019718309859154,0.1111111111111111,CD8 T cells,-0.4535837245696402
TPX2,SULT1B1,0.7229964697986911,0.5055144300630535,0.8426966292134831,1.0,1.0,0.0,0.1627253528289703,0.1722119354068063,0.0,0.0861059677034031,0.7106741573033708,0.032545070565794,0.0086105967703403,-1.7937663035395652,weak correlation / high independence,0.1005633802816901,0.1186440677966101,mast cells,-0.4926569587013604
CEP55,COL3A1,0.6504842260639693,0.7129259545708932,0.9325842696629212,0.994011976047904,1.0,0.1475409836065573,0.1666124069629201,0.0092228620594016,0.0,0.0046114310297008,0.7685343073293457,0.033322481392584,0.00046114310297,-1.8769712617368568,weak correlation / high independence,0.1228169014084507,0.1290322580645161,T cells,-0.5223443889141298
CKMT1A,PLEKHA2,0.706981588200439,0.2434402352438865,0.9269662921348316,0.9700598802395208,1.0,0.0,-0.1731899029944008,0.047185313902442,0.0,0.023592656951221,0.7242565430935881,0.0346379805988801,0.0023592656951221,-1.896293633686556,weak correlation / high independence,0.1284507042253521,0.1290322580645161,T cells,-0.5167105860972284
MMP1,CEP55,0.5367669500069564,0.6504842260639693,0.9101123595505618,1.0,1.0,0.0,0.113100753998958,0.0359063075725883,0.0092228620594016,0.0225645848159949,0.7275280898876404,0.0226201507997916,0.0022564584815994,-1.9090704639644,weak correlation / high independence,0.1228169014084507,0.1290322580645161,T cells,-0.5223443889141298
